,Series_reference,Data_value,STATUS
557,BDCQ.SEA1DS,18505.0,R
558,BDCQ.SEA1DS,18511.0,R
559,BDCQ.SEA1DS,18512.0,R
560,BDCQ.SEA1DS,18812.0,R
561,BDCQ.SEA1DS,18937.0,R
562,BDCQ.SEA1DS,19046.0,R
563,BDCQ.SEA1DS,19316.0,R
564,BDCQ.SEA1DS,19634.0,R
565,BDCQ.SEA1DS,19770.0,R
566,BDCQ.SEA1DS,19791.0,R
567,BDCQ.SEA1DS,20060.0,R
568,BDCQ.SEA1DS,20282.0,R
569,BDCQ.SEA1DS,20618.0,R
570,BDCQ.SEA1DS,20644.0,R
571,BDCQ.SEA1DS,20738.0,R
572,BDCQ.SEA1DS,21113.0,R
573,BDCQ.SEA1DS,21386.0,R
574,BDCQ.SEA1DS,22052.0,R
575,BDCQ.SEA1DS,21892.0,R
576,BDCQ.SEA1DS,22208.0,R
577,BDCQ.SEA1DS,22680.0,R
578,BDCQ.SEA1DS,22361.0,R
579,BDCQ.SEA1DS,22599.0,R
580,BDCQ.SEA1DS,23256.0,R
581,BDCQ.SEA1DS,23426.0,R
582,BDCQ.SEA1DS,23592.0,F
583,BDCQ.SEA1DT,14501.0,R
584,BDCQ.SEA1DT,14785.0,R
585,BDCQ.SEA1DT,15008.0,R
586,BDCQ.SEA1DT,15059.0,R
587,BDCQ.SEA1DT,15077.0,R
588,BDCQ.SEA1DT,15136.0,R
589,BDCQ.SEA1DT,15395.0,R
590,BDCQ.SEA1DT,15749.0,R
591,BDCQ.SEA1DT,15895.0,R
592,BDCQ.SEA1DT,15827.0,R
593,BDCQ.SEA1DT,15752.0,R
594,BDCQ.SEA1DT,15562.0,R
595,BDCQ.SEA1DT,15393.0,R
596,BDCQ.SEA1DT,15517.0,R
597,BDCQ.SEA1DT,15817.0,R
598,BDCQ.SEA1DT,15990.0,R
599,BDCQ.SEA1DT,15980.0,R
600,BDCQ.SEA1DT,15984.0,R
601,BDCQ.SEA1DT,16150.0,R
602,BDCQ.SEA1DT,16336.0,R
603,BDCQ.SEA1DT,16442.0,R
604,BDCQ.SEA1DT,16508.0,R
605,BDCQ.SEA1DT,16658.0,R
606,BDCQ.SEA1DT,16909.0,R
607,BDCQ.SEA1DT,17259.0,R
608,BDCQ.SEA1DT,17681.0,R
609,BDCQ.SEA1DT,18153.0,R
610,BDCQ.SEA1DT,18461.0,R
611,BDCQ.SEA1DT,18514.0,R
612,BDCQ.SEA1DT,18569.0,R
613,BDCQ.SEA1DT,18765.0,R
614,BDCQ.SEA1DT,18936.0,R
615,BDCQ.SEA1DT,19067.0,R
616,BDCQ.SEA1DT,19325.0,R
617,BDCQ.SEA1DT,19612.0,R
618,BDCQ.SEA1DT,19748.0,R
619,BDCQ.SEA1DT,19839.0,R
620,BDCQ.SEA1DT,20027.0,R
621,BDCQ.SEA1DT,20325.0,R
622,BDCQ.SEA1DT,20559.0,R
623,BDCQ.SEA1DT,20656.0,R
624,BDCQ.SEA1DT,20781.0,R
625,BDCQ.SEA1DT,21074.0,R
626,BDCQ.SEA1DT,21433.0,R
627,BDCQ.SEA1DT,21706.0,R
628,BDCQ.SEA1DT,21929.0,R
629,BDCQ.SEA1DT,22254.0,R
630,BDCQ.SEA1DT,22469.0,R
